index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,,,3,3,,
3,2,4,9,,3,3,3,
4,3,,,,3,,,
5,,6,11,,,3,3,
6,5,,,,3,,,
7,,8,,,,3,,
8,7,9,14,,3,3,3,
9,8,10,15,3,3,3,3,3
10,9,,,,3,,,
11,,12,,5,,3,,3
12,11,,18,,3,,3,
13,,14,19,,,3,3,
14,13,,,8,3,,,3
15,,16,,9,,3,,3
16,15,17,,,3,3,,
17,16,18,,,3,3,,
18,17,,24,12,3,,3,3
19,,20,,13,,3,,3
20,19,21,,,3,3,,
21,20,,,,3,,,
22,,23,28,,,3,3,
23,22,,29,,3,,3,
24,,,30,18,,,3,3
25,,26,,,,3,,
26,25,27,,,3,3,,
27,26,28,33,,3,3,3,
28,27,,34,22,3,,3,3
29,,30,,23,,3,,3
30,29,,,24,3,,,3
31,,,37,,,,3,
32,,,38,,,,3,
33,,,,27,,,,3
34,,,40,28,,,3,3
35,,36,41,,,3,3,
36,35,,42,,3,,3,
37,,,43,31,,,3,3
38,,39,44,32,,3,3,3
39,38,40,45,,3,3,3,
40,39,,,34,3,,,3
41,,,47,35,,,3,3
42,,,48,36,,,3,3
43,,44,,37,,3,,3
44,43,,,38,3,,,3
45,,46,,39,,3,,3
46,45,47,,,3,3,,
47,46,,,41,3,,,3
48,,,,42,,,,3
